data,titulo,classificacao,justificativa,link
24/10/2024,Morre em Brasília cineasta Vladimir Carvalho,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/cultura/noticia/2024-10/morre-em-brasilia-cineasta-e-professor-vladimir-carvalho
24/10/2024,Ministro quer parte da taxação de grandes fortunas para a defesa civil,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/ministro-quer-parte-da-taxacao-de-grandes-fortunas-para-defesa-civil
24/10/2024,População pode opinar sobre plano de adaptação às mudanças climáticas,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/populacao-pode-opinar-sobre-plano-de-adaptacao-as-mudancas-climaticas
24/10/2024,"Brasil critica omissão de países com ""atrocidade"" em Gaza",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/brasil-critica-omissao-de-paises-com-o-que-ocorre-na-faixa-de-gaza
24/10/2024,Confrontos armados na zona norte do Rio deixam morto e cinco feridos,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/confrontos-armados-na-zona-norte-do-rio-deixam-morto-e-cinco-feridos
24/10/2024,Prevenção de dengue deve ir além de mensagens sobre hábitos e cuidados,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/saude/noticia/2024-10/prevencao-de-dengue-deve-ir-alem-de-mensagens-sobre-habitos-e-cuidados
24/10/2024,PF investiga desembargadores por suspeita de venda de decisões em MS,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/pf-investiga-desembargadores-por-suspeita-de-venda-de-decis%C3%B5es-em-MSdos
24/10/2024,Cinco pessoas morreram na queda de aeronave no interior de SP,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/cinco-pessoas-morreram-na-queda-de-aeronave-no-interior-de-sp
24/10/2024,Cinzas de queimadas e lama do RS formam mural em São Paulo,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/cinzas-de-queimadas-e-lama-do-rs-formam-mural-em-sao-paulo
24/10/2024,Mangue conservado transforma pescadores em guias de turismo,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/mangue-conservado-transforma-pescadores-em-guias-de-turismo
24/10/2024,Manguezais têm potencial de gerar R$ 49 bilhões em crédito de carbono,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/manguezais-tem-potencial-de-gerar-r-49-bilhoes-em-credito-de-carbono
24/10/2024,Ataque de Israel mata soldados libaneses; França quer apoio ao Líbano,NÃO,"Notícia sobre outro país, não instabilidade política brasileira",https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/ataque-de-israel-mata-soldados-libaneses-franca-quer-apoio-ao-libano
24/10/2024,"Prévia da inflação oficial fica em 0,54% em outubro",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/previa-da-inflacao-oficial-fica-em-054-em-outubro
24/10/2024,Aeronave cai no interior de SP; não há confirmação de vítimas,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/aeronave-cai-no-interior-de-sp-nao-ha-confirmacao-de-vitimas
24/10/2024,Enem 2024: número de inscritos supera em 10% total de 2023,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/educacao/noticia/2024-10/enem-2024-numero-de-inscritos-supera-em-10-total-de-2023
24/10/2024,G20 aprova plano de reforma de bancos de desenvolvimento,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/g20-aprova-plano-de-reforma-de-bancos-de-desenvolvimento
24/10/2024,"Com fundo da Ancine, EBC lança edital para produção de conteúdo",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/cultura/noticia/2024-10/com-fundo-da-ancine-ebc-lanca-edital-para-produ%C3%A7%C3%A3o-de-conteudo
24/10/2024,Receita abre consulta a lote da malha fina do Imposto de Renda,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/receita-abre-consulta-lote-da-malha-fina-do-imposto-de-renda
24/10/2024,Mega-Sena sorteia nesta quinta-feira prêmio acumulado em R$ 55 milhões,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/mega-sena-sorteia-nesta-quinta-feira-premio-acumulado-em-r-55-milhoes
24/10/2024,"Buscando a liderança, Sport recebe lanterna Guarani na Ilha do Retiro",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/buscando-lideranca-sport-recebe-lanterna-guarani-na-ilha-do-retiro
24/10/2024,Caixa paga Bolsa Família a beneficiários com NIS de final 5,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/caixa-paga-bolsa-familia-beneficiarios-com-nis-de-final-5
24/10/2024,Capitais do agronegócio no Centro-Oeste acumulam problemas sociais,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/politica/noticia/2024-10/capitais-do-agronegocio-no-centro-oeste-acumulam-problemas-sociais
24/10/2024,Quase 200 crianças e adolescentes são agredidos por dia no Brasil,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/direitos-humanos/noticia/2024-10/quase-200-criancas-e-adolescentes-sao-agredidos-por-dia-no-brasil
24/10/2024,Botafogo goleia Peñarol por 5 a 0 e coloca pé na final da Libertadores,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/botafogo-goleia-penarol-por-5-0-e-coloca-pe-na-final-da-libertadores
24/10/2024,Operário-PR complica América-MG e ainda sonha com acesso na Série B,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/operario-pr-complica-america-mg-e-ainda-sonha-com-acesso-na-serie-b
24/10/2024,"“Rei”, “futebol” e “craque”, as palavras que resumem o legado de Pelé",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/rei-futebol-e-craque-palavras-que-resumem-o-legado-de-pele
24/10/2024,"Brasil deve ter imposto para produtos nocivos à saúde, defende Bird",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/saude/noticia/2024-10/brasil-deve-ter-imposto-para-produtos-nocivos-saude-defende-bird
24/10/2024,Fux suspende restrições para exploração de loterias por estados,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/fux-suspende-restricoes-para-exploracao-de-loterias-por-estados
25/10/2024,G20: governo e empresários se alinham sobre reforma da OMC,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/g20-governo-e-empresarios-se-alinham-sobre-na-reforma-da-omc
25/10/2024,Medida Provisória mantém isenção a medicamentos importados,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/medida-provisoria-mantem-isencao-medicamentos-importados
25/10/2024,Amistoso Brasil x Colômbia neste sábado abre preparação para Copa 2027,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/amistoso-brasil-x-colombia-neste-sabado-abre-preparacao-para-copa-2027
25/10/2024,Ex-assessor de Brazão nega ter dado arma para assassinato de Marielle,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/ex-assessor-de-brazao-nega-ter-dado-arma-para-assassinato-de-marielle
25/10/2024,Estudo aponta falhas em tratamento tradicional contra drogas,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/saude/noticia/2024-10/estudo-aponta-falhas-em-tratamento-tradicional-contra-drogas
25/10/2024,Polícia prende no Rio armazenador de pornografia infantil,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/policia-prende-no-rio-armazenador-de-pornografia-infantil
25/10/2024,"Dólar ultrapassa R$ 5,70 e fecha no maior valor em quase três meses",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/dolar-ultrapassa-r-570-e-fecha-no-maior-valor-em-quase-3-meses
25/10/2024,Mendonça decide que Deolane não é obrigada a depor na CPI das Apostas,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/mendonca-decide-que-deolane-nao-e-obrigada-depor-na-cpi-das-apostas
25/10/2024,Enem 2024: Ubes pede passe-livre a estudantes nos dois dias de provas,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/educacao/noticia/2024-10/enem-2024-ubes-pede-passe-livre-estudantes-nos-dois-dias-de-provas
25/10/2024,Aneel reduz para amarela bandeira tarifária de energia em novembro,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/aneel-reduz-para-amarela-bandeira-tarifaria-de-energia-em-novembro
25/10/2024,Família de Maguila doa cérebro de ex-pugilista para estudo,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/familia-de-maguila-doa-cerebro-de-ex-pugilista-para-estudo
25/10/2024,Rivaldo Barbosa diz que se sente humilhado por usar algemas nos pés,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/rivaldo-barbosa-diz-que-se-sente-humilhado-por-usar-algemas-nos-pes
25/10/2024,"Fãs, familiares e amigos se despedem de Maguila em velório na Alesp",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/fas-familiares-e-amigos-se-despedem-de-maguila-em-velorio-na-alesp
25/10/2024,"Com ampliação, Brics ganha peso na política global e une diferentes",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/com-ampliacao-brics-ganha-peso-na-politica-global-e-une-diferentes
25/10/2024,"Santos Dumont vai operar sem restrições durante o G20, diz FAB",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/santos-dumont-vai-operar-sem-restricoes-durante-o-g20-diz-fab
25/10/2024,Eleitores de SP terão transporte metropolitano gratuito no 2º turno,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/politica/noticia/2024-10/eleitores-de-sp-terao-transporte-metropolitano-gratuito-no-2o-turno
25/10/2024,Seleção vai se preparar em Belém para próximos jogos das Eliminatórias,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/selecao-vai-se-preparar-em-belem-para-proximos-jogos-das-eliminatorias
25/10/2024,Povo Pataxó denuncia violência e cerco a terras na Bahia,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/povo-pataxo-denuncia-violencia-e-cerco-a-terras-na-bahia
25/10/2024,Estado de São Paulo terá segundo turno em 18 cidades,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/estado-de-sao-paulo-tera-segundo-turno-em-18-cidades
25/10/2024,Chuva causou três mortes em SP; bombeiros procuram dois desaparecidos,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/chuva-causou-tres-mortes-em-sp-bombeiros-procuram-dois-desaparecidos
25/10/2024,Israel propõe nova trégua que prevê cessar-fogo permanente em Gaza,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/israel-propoe-nova-tregua-que-preve-cessar-fogo-permanente-em-gaza
25/10/2024,Lula faz exames em Brasília e apresenta quadro estável,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/politica/noticia/2024-10/lula-faz-exames-em-brasilia-e-apresenta-quadro-estavel
25/10/2024,Tragédia de Mariana: governo e mineradoras assinam acordo de R$ 132 bi,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/politica/noticia/2024-10/tragedia-de-mariana-governo-e-mineradoras-assinam-acordo-de-r-132-bi
25/10/2024,Segurança pública é desafio comum às capitais do Nordeste com 2° turno,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/segundo-turno-nordeste
25/10/2024,"Venezuela acusa Brasil de barrar sua entrada no Brics: ""agressão""",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/venezuela-diz-que-foi-agressao-Brasil-barrar-sua-entrada-no-brics
25/10/2024,Fiocruz aponta sinais de queda em alta recente da covid-19 no país,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/saude/noticia/2024-10/fiocruz-aponta-sinais-de-queda-em-alta-recente-da-covid-19-no-pais
25/10/2024,"Morre Zé Carlos, ex-lateral do São Paulo e da Seleção Brasileira",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/morre-ze-carlos-ex-lateral-do-sao-paulo-e-da-selecao-brasileira
25/10/2024,Credencial de estacionamento para idoso e PCD ganha versão digital,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/credencial-de-estacionamento-para-idoso-e-pcd-ganha-versao-digital
25/10/2024,"Eficiência de operações policiais no Rio é de apenas 1,4%, diz estudo",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/eficiencia-de-operacoes-policiais-no-rio-e-de-apenas-14-diz-estudo
25/10/2024,Temporais causam estragos no Sul do país e deixam milhares sem energia,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/temporais-causam-estragos-no-sul-do-pais-e-deixam-milhares-sem-energia
25/10/2024,Tribunal Superior Eleitoral fará mais um teste na urna eletrônica,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/tribunal-superior-eleitoral-fara-mais-um-teste-na-urna-eletronica
25/10/2024,"Acnur denuncia ataques na fronteira Líbano-Síria, rota de refugiados",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/acnur-denuncia-ataques-na-fronteira-libano-siria-rota-de-refugiados
25/10/2024,Eleitor surdo ou com deficiência auditiva terá Central de Libras em SP,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/eleitor-surdo-ou-com-deficiencia-auditiva-tera-central-de-libras-em-sp
25/10/2024,Provas de Proficiência em Língua Portuguesa terminam hoje,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/educacao/noticia/2024-10/provas-para-se-obter-certificado-de-proficiencia-terminam-hoje
25/10/2024,Ataques israelenses matam 163 socorristas no Líbano em um ano,NÃO,"Notícia sobre outro país, não instabilidade política brasileira",https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/ataques-israelenses-matam-163-socorristas-no-libano-em-um-ano
25/10/2024,"Planeta pode aquecer 3,1ºC a 3,6ºC com emissões de gases",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/meio-ambiente/noticia/2024-10/planeta-pode-aquecer-31oc-36oc-com-emissoes-de-gases
25/10/2024,Morte do jornalista Vladimir Herzog completa hoje 49 anos,NÃO,"Notícia sobre evento histórico/comemorativo, não instabilidade atual",https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/morte-do-jornalista-vladimir-herzog-completa-hoje-49-anos
25/10/2024,Tempestade tropical Trami mata 46 nas Filipinas,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/tempestade-tropical-trami-mata-46-nas-filipinas
25/10/2024,Horário eleitoral gratuito termina nesta sexta-feira,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/horario-eleitoral-gratuito-termina-nesta-sexta-feira
25/10/2024,"Total de mulheres responsáveis por domicílios cresce, revela Censo",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/total-de-mulheres-responsaveis-por-domicilios-cresce-revela-censo
25/10/2024,"Brasil teve 1,3 milhão de óbitos de agosto de 2021 a julho de 2022",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/brasil-teve-13-milhao-de-obitos-de-agosto-de-2021-julho-de-2022
25/10/2024,Voo da Operação Raízes do Cedro aterrissou hoje com 239 pessoas em SP,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/voo-da-operacao-raizes-do-cedro-aterrizou-hoje-com-239-pessoas-em-sp
25/10/2024,Ataque israelense mata três jornalistas no sul do Líbano,NÃO,"Notícia sobre outro país, não instabilidade política brasileira",https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/ataque-israelense-mata-tres-jornalistas-no-sul-do-libano
25/10/2024,"Três pessoas morrem por queda de muro, após fortes ventos no rio",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/tres-pessoas-morrem-por-queda-de-muro-apos-fortes-ventos-no-rio
25/10/2024,"Cineastas, ex-alunos e amigos celebram legado de Vladimir Carvalho",NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/cineastas-ex-alunos-e-amigos-celebram-legado-de-vladimir-carvalho
25/10/2024,Goiás e Amazonas jogam pela Série B com transmissão da TV Brasil,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/goias-e-amazonas-jogam-pela-serie-b-com-transmissao-da-tv-brasil
25/10/2024,Caixa paga Bolsa Família a beneficiários com NIS de final 6,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/caixa-paga-bolsa-familia-beneficiarios-com-nis-de-final-6
25/10/2024,Sport goleia Guarani e continua vivo na luta pelo título da Série B,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/sport-goleia-guarani-e-continua-vivo-na-luta-pelo-titulo-da-serie-b
25/10/2024,B20 discute regulação da IA e empresas de tecnologia pedem diálogo,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/b20-discute-regulacao-da-ia-e-empresas-de-tecnologia-pedem-dialogo
25/10/2024,Temporal em SP derruba árvores e deixa moradores sem luz,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/temporal-em-sp-derruba-arvores-e-deixa-moradores-sem-luz
