titulo;data;link;classificacao;motivo;trecho
Acordo Marco de Cooperação com a OCDE;08/04/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-marco-de-cooperacao-com-a-ocde;Relevante;;
13º Congresso de Prevenção do Crime e Justiça Criminal - Doha, 12 a 19 de abril de 2015;16/04/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/13-congresso-de-prevencao-do-crime-e-justica-criminal-doha-12-a-19-de-abril-de-2015;Relevante;;
Acordo Comercial Expandido Brasil-México – Cidade do México, 26 de maio de 2015;26/05/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-comercial-expandido-brasil-mexico-cidade-do-mexico-26-de-maio-de-2015;Relevante;;
Ata da Quarta Reunião da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN);26/06/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/ata-da-quarta-reuniao-da-comissao-sino-brasileira-de-alto-nivel-de-concertacao-e-cooperacao-cosban;Relevante;;
Atos assinados por ocasião da visita da Presidenta Dilma Rousseff aos Estados Unidos – Washington, 30 de junho de 2015;30/06/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-da-presidenta-dilma-rousseff-aos-estados-unidos-washington-30-de-junho-de-2015;Relevante;;
Comunicado Conjunto da Presidenta Dilma Rousseff e do Presidente Barack Obama – Washington, 30 de junho de 2015;30/06/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-da-presidenta-dilma-rousseff-e-do-presidente-barack-obama-washington-30-de-junho-de-2015;Relevante;;
VII Cúpula do BRICS – Plano de Ação – Ufá, Rússia, 9 de julho de 2015;09/07/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-do-brics-plano-de-acao-ufa-russia-9-de-julho-de-2015;Relevante;;
VII Cúpula do BRICS – Declaração de Ufá – Ufá, Rússia, 9 de julho de 2015;09/07/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-do-brics-declaracao-de-ufa-ufa-russia-9-de-julho-de-2015;Relevante;;
Comunicado Conjunto das Presidentas e dos Presidentes dos Estados Partes do MERCOSUL – Brasília, 17 de julho de 2015;18/07/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-das-presidentas-e-dos-presidentes-dos-estados-partes-do-mercosul-brasilia-17-de-julho-de-2015;Relevante;;
Comunicado Conjunto por ocasião das Primeiras Consultas Intergovernamentais de Alto Nível Brasil-Alemanha – Brasília, 20 de agosto de 2015;20/08/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-por-ocasiao-das-primeiras-consultas-intergovernamentais-de-alto-nivel-brasil-alemanha-brasilia-20-de-agosto-de-2015;Relevante;;
Visita ao Brasil de Sua Alteza Real o Príncipe Herdeiro da Noruega – Brasília, 16 de novembro de 2015;13/11/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-de-sua-alteza-real-o-principe-herdeiro-da-noruega-brasilia-16-de-novembro-de-2015;Relevante;;
Negociação Brasil-México para ampliação e aprofundamento do ACE-53 – Troca de Listas de Pedidos Recíprocos;19/12/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/negociacao-brasil-mexico-para-ampliacao-e-aprofundamento-do-ace-53-troca-de-listas-de-pedidos-reciprocos;Relevante;;
Resultados da X Conferência Ministerial da Organização Mundial do Comércio – Nairóbi, 15 a 18 de dezembro de 2015;19/12/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/resultados-da-x-conferencia-ministerial-da-organizacao-mundial-do-comercio-nairobi-15-a-18-de-dezembro-de-2015;Relevante;;
XII Reunião de Ministros das Relações Exteriores dos Países Membros da OTCA - El Coca, Equador, 3 de maio de 2013 – Declaração de El Coca – texto integral [Espanhol];20/05/2016;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/xii-reuniao-de-ministros-das-relacoes-exteriores-dos-paises-membros-da-otca-el-coca-equador-3-de-maio-de-2013-declaracao-de-el-coca-texto-integral-espanhol;Relevante;;
V Cúpula do Fórum de Diálogo Índia, Brasil e África do Sul (IBAS) – Declaração de Tshwane – 18/10/2011;30/05/2016;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/v-cupula-do-forum-de-dialogo-india-brasil-e-africa-do-sul-ibas-declaracao-de-tshwane-18-10-2011;Relevante;;
Discurso do Ministro José Serra durante a Reunião Ministerial da Organização Mundial de Comércio (OMC) – Paris, 2 de junho de 2016;02/06/2016;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-do-ministro-jose-serra-durante-a-sessao-reforcando-a-contribuicao-do-comercio-e-do-investimento-para-o-crescimento-inclusivo-da-reuniao-do-conselho-ministerial-da-ocde-paris-2-de-junho-de-2016;Relevante;;
Comunicado dos Líderes do G20 – Cúpula de Hangzhou – 4-5 de setembro de 2016;08/09/2016;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-dos-lideres-do-g20-cupula-de-hangzhou-4-5-de-setembro-de-2016;Relevante;;
Visita do Presidente da República à Índia – Goa, 17 de outubro de 2016 – Comunicado Conjunto Brasil-Índia;17/10/2016;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-presidente-da-republica-a-india-goa-17-de-outubro-de-2016-comunicado-conjunto-brasil-india;Relevante;;
Declaração conjunta do presidente da República Federativa do Brasil e do primeiro-ministro da República Portuguesa por ocasião da XII Cimeira Brasil-Portugal;01/11/2016;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-do-presidente-da-republica-federativa-do-brasil-e-do-primeiro-ministro-da-republica-portuguesa-por-ocasiao-da-xii-cimeira-brasil-portugal;Relevante;;
Direito à privacidade na era digital;24/03/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/direito-a-privacidade-na-era-digital;Relevante;;
Declaração conjunta aprovada por ocasião da VI Cúpula Brasil–União Europeia - Brasília, 24 de janeiro de 2013;01/06/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-aprovada-por-ocasiao-da-vi-cupula-brasil-uniao-europeia-brasilia-24-de-janeiro-de-2013;Relevante;;
Itamaraty apoia empreendedorismo brasileiro no exterior;06/07/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/itamaraty-apoia-empreendedorismo-brasileiro-no-exterior;Relevante;;
Declaração dos Lideres do G20 – Moldando um Mundo Interconectado;08/07/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-dos-lideres-do-g20-moldando-um-mundo-interconectado;Relevante;;
Declaração de Hamburgo dos Líderes do G20 sobre a Luta contra o Terrorismo;08/07/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-de-hamburgo-dos-lideres-do-g20-sobre-a-luta-contra-o-terrorismo;Relevante;;
Documentos finais da XXII Reunião Ordinária do Conselho de Ministros da Comunidade dos Países de Língua Portuguesa – Brasília, 20 de julho de 2017;20/07/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-finais-da-xxii-reuniao-ordinaria-do-conselho-de-ministros-da-comunidade-dos-paises-de-lingua-portuguesa-brasilia-em-20-de-julho-de-2017;Relevante;;
V Cúpula Brasil-União Europeia – Declaração Conjunta e Plano de Ação Conjunta – Bruxelas, 4 outubro de 2011;04/08/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/v-cupula-brasil-uniao-europeia-declaracao-conjunta-bruxelas-4-outubro-de-2011;Relevante;;
Atos assinados por ocasião da visita ao Brasil da Ministra das Relações Exteriores da Colômbia, María Ángela Holguín – Brasília, 26 de outubro de 2011;15/08/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-ao-brasil-da-ministra-das-relacoes-exteriores-da-colombia-maria-angela-holguin-brasilia-26-de-outubro-de-2011;Relevante;;
IX Cúpula do BRICS – Declaração de Xiamen – Xiamen, China, 4 de setembro de 2017;04/09/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/nona-cupula-do-brics-declaracao-de-xiamen-xiamen-china-4-de-setembro-de-2017;Relevante;;
Visita do Ministro Aloysio Nunes Ferreira à Itália – Comunicado Conjunto;13/11/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-aloysio-nunes-ferreira-a-italia-comunicado-conjunto;Relevante;;
Atos assinados por ocasião da visita do Presidente do Estado Plurinacional da Bolívia, Evo Morales;05/12/2017;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-do-presidente-do-estado-plurinacional-da-bolivia-evo-morales;Relevante;;
Acordo entre a República Federativa do Brasil e o estado de Israel de Previdência Social – 27 de fevereiro de 2018;27/02/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-entre-a-republica-federativa-do-brasil-e-o-estado-de-israel-de-previdencia-social-27-de-fevereiro-de-2018;Relevante;;
Comunicado conjunto entre a República Federativa do Brasil e a República de Singapura – Singapura, 8 de maio de 2018;08/05/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-entre-a-republica-federativa-do-brasil-e-a-republica-de-singapura-por-ocasiao-da-visita-oficial-do-ministro-das-relacoes-exteriores-do-brasil-aloysio-nunes-ferreira-singapura-7-a-9-de-maio-de-2018;Relevante;;
Lançamento das negociações de um Acordo de Comércio entre   o Mercosul e a República da Coreia – 25 de maio de 2018;25/05/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/lancamento-das-negociacoes-de-um-acordo-de-comercio-entre-o-mercosul-e-a-republica-da-coreia-25-de-maio-de-2018;Relevante;;
I Rodada Negociadora do Acordo de Livre Comércio  Brasil-Chile – Brasília, 6 a 8 de junho de 2018;08/06/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/i-rodada-negociadora-do-acordo-de-livre-comercio-brasil-chile-brasilia-6-a-8-de-junho-de-2018;Relevante;;
Comunicado Conjunto dos Presidentes dos Estados Partes do MERCOSUL e Bolívia – Assunção, 18 de junho de 2018;18/06/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-dos-presidentes-de-estados-partes-do-mercosul-e-bolivia-assuncao-18-de-junho-de-2018;Relevante;;
Diálogo com os Grupos de Engajamento do G20;20/06/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/dialogo-com-os-grupos-de-engajamento-do-g20;Relevante;;
X Cúpula dos BRICS – Declaração de Joanesburgo – 27 de julho de 2018 [Inglês];27/07/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/x-cupula-dos-brics-declaracao-de-joanesburgo-27-de-julho-de-2018-ingles;Relevante;;
II Rodada Negociadora do Acordo de Livre Comércio Brasil-Chile – Santiago, 7 a 10 de agosto de 2018;13/08/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/ii-rodada-negociadora-do-acordo-de-livre-comercio-brasil-chile-santiago-7-a-10-de-agosto-de-2018;Relevante;;
III Rodada de Negociações do Acordo de Livre Comércio Brasil-Chile – Brasilia, 12 a 14 de setembro de 2018;14/09/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/iii-rodada-de-negociacoes-do-acordo-de-livre-comercio-brasil-chile-brasilia-12-a-14-de-setembro-de-2018;Relevante;;
Acordo de Livre Comércio Brasil-Chile [Declaração à imprensa];21/11/2018;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-de-livre-comercio-brasil-chile;Relevante;;
Solicitação de atribuição do nome de domínio de primeiro nível “.Amazon”;11/03/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/solicitacao-de-atribuicao-do-nome-de-dominio-de-primeiro-nivel-amazon;Relevante;;
Solicitação de atribuição de domínio de primeiro nível “.Amazon”;18/04/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/solicitacao-de-atribuicao-de-dominio-de-primeiro-nivel-amazon;Relevante;;
Comércio eletrônico na OMC;03/05/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/comercio-eletronico-na-omc-2;Relevante;;
Solicitação de atribuição de domínio de primeiro nível “.Amazon”;20/05/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/solicitacao-de-atribuicao-de-dominio-de-primeiro-nivel-amazon-2;Relevante;;
Cúpula do G20 em Osaka;26/06/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/cupula-do-g20-em-osaka;Relevante;;
Reunião informal de líderes do BRICS à margem da Cúpula do G20 – Comunicado conjunto de imprensa – Osaka, 28 de junho de 2019;28/06/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/reuniao-informal-de-lideres-do-brics-a-margem-da-cupula-do-g20-comunicado-conjunto-de-imprensa-osaka-28-de-junho-de-2019;Relevante;;
Declaração de Osaka sobre Economia Digital;29/06/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/declaracao-de-osaka-sobre-economia-digital;Relevante;;
Declaração de Osaka dos Líderes do G20;29/06/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/declaracao-de-osaka-dos-lideres-do-g20;Relevante;;
Comunicado conjunto dos Presidentes dos Estados Partes do MERCOSUL e Estados Associados;17/07/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/comunicado-conjunto-dos-presidentes-dos-estados-partes-do-mercosul-e-estados-associados-2;Relevante;;
Comércio Eletrônico na Organização Mundial do Comércio –Nota Conjunta dos Ministérios das Relações Exteriores e da Economia;11/10/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/comercio-eletronico-na-organizacao-mundial-do-comercio-nota-conjunta-dos-ministerios-das-relacoes-exteriores-e-da-economia;Relevante;;
XI Cúpula do BRICS – Brasília, 13 e 14 de novembro de 2019;11/11/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/xi-cupula-do-brics-brasilia-13-e-14-de-novembro-de-2019;Relevante;;
XI Cúpula do BRICS – Declaração de Brasília;14/11/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/declaracao-de-brasilia-11-cupula-do-brics;Relevante;;
MERCOSUL – Documentos adotados na Cúpula do Vale dos Vinhedos – Bento Gonçalves, 5 de dezembro de 2019;05/12/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/mercosul-documentos-adotados-na-cupula-do-vale-dos-vinhedos-bento-goncalves-5-de-dezembro-de-2019;Relevante;;
Processo de adesão à Convenção de Budapeste - Nota Conjunta do Ministério das Relações Exteriores e do Ministério da Justiça e Segurança Pública;11/12/2019;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/processo-de-adesao-a-convencao-de-budapeste-nota-conjunta-do-ministerio-das-relacoes-exteriores-e-do-ministerio-da-justica-e-seguranca-publica;Relevante;;
III Conferência Ministerial Hemisférica de Luta contra o Terrorismo – Comunicado Conjunto;20/01/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/iii-conferencia-ministerial-hemisferica-de-luta-contra-o-terrorismo-comunicado-conjunto;Relevante;;
Cúpula extraordinária dos líderes do G20 - Declaração sobre COVID-19;26/03/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/cupula-extraordinaria-dos-lideres-do-g20-declaracao-sobre-covid-19;Relevante;;
Declaração Conjunta Brasil-Uruguai sobre cooperação para estabelecimento de plataformas comuns de proteção ao consumidor;15/07/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/declaracao-conjunta-brasil-uruguai-sobre-cooperacao-para-estabelecimento-de-plataformas-comuns-de-protecao-ao-consumidor;Relevante;;
Assinatura do Memorando de Entendimento entre o Brasil e o Chile sobre Cooperação na área de Telecomunicações e Economia Digital;24/07/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/assinatura-do-memorando-de-entendimento-entre-o-brasil-e-o-chile-sobre-cooperacao-na-area-de-telecomunicacoes-e-economia-digital;Relevante;;
V Diálogo Estratégico Brasil–Reino Unido – Comunicado Conjunto;09/10/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/v-dialogo-estrategico-brasil-reino-unido-comunicado-conjunto;Relevante;;
Assinatura de Pacote Comercial com os EUA – Nota Conjunta do Ministério das Relações Exteriores e do Ministério da Economia;19/10/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/nota-conjunta-do-ministerio-das-relacoes-exteriores-e-do-ministerio-da-economia-assinatura-de-pacote-comercial-com-os-eua;Relevante;;
Lançamento do Diálogo Trilateral Brasil-Estados Unidos-Japão (JUSBE);10/11/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/lancamento-do-dialogo-trilateral-brasil-estados-unidos-japao-jusbe;Relevante;;
XII Cúpula do BRICS;17/11/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/xii-cupula-do-brics;Relevante;;
Declaração de Moscou da XII Cúpula do BRICS;17/11/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/declaracao-de-moscou-da-xii-cupula-do-brics;Relevante;;
Declaração de Líderes do G20 da Cúpula de Riade – 22/11/2020;22/11/2020;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/declaracao-de-lideres-do-g20-da-cupula-de-riade-2013-16-e-17-11-2020;Relevante;;
Assinado Acordo sobre Comércio Eletrônico do MERCOSUL – Nota Conjunta do Ministério das Relações Exteriores e do Ministério da Economia;30/04/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/assinado-acordo-sobre-comercio-eletronico-do-mercosul-nota-conjunta-mre-mecon;Relevante;;
Adesão brasileira ao projeto do cabo de fibras óticas “Humboldt” — Nota Conjunta do Ministério das Relações Exteriores e do Ministério das Comunicações;13/05/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/adesao-brasileira-ao-projeto-do-cabo-de-fibras-oticas-201chumboldt201d-nota-conjunta-do-ministerio-das-relacoes-exteriores-e-do-ministerio-das-comunicacoes;Relevante;;
XIII Cúpula do BRICS – Declaração de Nova Delhi;09/09/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/xiii-cupula-brics-declaracao-de-nova-delhi;Relevante;;
Comunicado Conjunto Brasil-Argentina por ocasião da visita a Brasília do Ministro das Relações Exteriores, Comércio Internacional e Culto da Argentina;08/10/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-brasil-argentina-por-ocasiao-da-visita-a-brasilia-do-ministro-das-relacoes-exteriores-comercio-internacional-e-culto-da-argentina;Relevante;;
Declaração dos Líderes do G20 Roma;02/11/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-dos-lideres-do-g20-roma;Relevante;;
Aprovação pelo Senado Federal da  Convenção de Budapeste sobre o Crime Cibernético;17/12/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/aprovacao-pelo-senado-federal-da-convencao-de-budapeste-sobre-o-crime-cibernetico;Relevante;;
Comunicado Conjunto Dos Presidentes Dos Estados Partes Do Mercosul E Estados Associados;17/12/2021;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-dos-presidentes-dos-estados-partes-do-mercosul-e-estados-associados-1;Relevante;;
Nota conjunta do Ministério das Relações Exteriores, da Casa Civil e do Ministério da Economia - Brasil é convidado a iniciar processo de acessão à OCDE;25/01/2022;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/nota-conjunta-do-ministerio-das-relacoes-exteriores-da-casa-civil-e-do-ministerio-da-economia-brasil-e-convidado-a-iniciar-processo-de-acessao-a-ocde;Relevante;;
Seminário “A Cadeia Internacional de Semicondutores e o Brasil”;26/04/2022;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/seminario-201ca-cadeia-internacional-de-semicondutores-e-o-brasil201d;Relevante;;
