"Titulo";"Data";"Link";"Nota_Escala_Original";"Nota_Escala_Sugerida";"Classificacao";"Motivo";"Justificativa_Validacao";"Classificado_Heuristico"
"Visita ao Brasil do Primeiro-Ministro do Japão, Shinzo Abe – Comunicado Conjunto – 31 de julho a 2 de agosto de 2014";"07/08/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-primeiro-ministro-do-japao-shinzo-abe-comunicado-conjunto-31-de-julho-a-2-de-agosto-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Documentos aprovados na XLVI Cúpula de Chefes de Estado do MERCOSUL e Estados Associados – Caracas, 29 de julho de 2014";"07/08/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvi-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-caracas-29-de-julho-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Discurso proferido pela Presidenta da República, Dilma Rousseff, na abertura do Debate de Alto Nível da 69ª Assembleia Geral das Nações Unidas (ONU) – Nova York, 24 de setembro de 2014";"08/10/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pela-presidenta-da-republica-dilma-rousseff-na-abertura-do-debate-de-alto-nivel-da-69-assembleia-geral-das-nacoes-unidas-onu-nova-york-24-de-setembro-de-2014";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Documentos aprovados na XLVII Cúpula de Chefes de Estado do MERCOSUL e Estados Associados - Paraná, Argentina, 17 de dezembro de 2014";"18/12/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvii-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-parana-argentina-17-de-dezembro-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Discurso de Sua Excelência o Senhor Embaixador Mauro Luiz Iecker Vieira, por ocasião da cerimônia de transmissão do cargo de Ministro de Estado das Relações Exteriores - Palácio Itamaraty, 2 de janeiro de 2015";"02/01/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-de-sua-excelencia-o-senhor-embaixador-mauro-luiz-iecker-vieira-por-ocasiao-da-cerimonia-de-transmissao-do-cargo-de-ministro-de-estado-das-relacoes-exteriores-palacio-itamaraty-2-de-janeiro-de-2015";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Documentos aprovados na I Reunião dos Ministros das Relações Exteriores do Foro CELAC-China - Pequim, 8 e 9 de janeiro de 2015 [inglês]";"12/01/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-i-reuniao-dos-ministros-das-relacoes-exteriores-do-foro-celac-china-pequim-8-e-9-de-janeiro-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita ao Brasil do Ministro do Exterior da República Federal da Alemanha, Frank-Walter Steinmeier – Brasília, 13 de fevereiro de 2015";"12/02/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-do-exterior-da-republica-federal-da-alemanha-frank-walter-steinmeier-brasilia-13-de-fevereiro-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"IV Diálogo Estratégico Brasil – Reino Unido  - Londres, 25 de fevereiro de 2015 - Comunicado Conjunto";"27/02/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/iv-dialogo-estrategico-brasil-reino-unido-londres-25-de-fevereiro-de-2015-comunicado-conjunto";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""";"26/03/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/criacao-da-relatoria-especial-sobre-o-direito-a-privacidade-na-era-digital";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Acordo Marco de Cooperação com a OCDE";"08/04/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-marco-de-cooperacao-com-a-ocde";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"13º Congresso de Prevenção do Crime e Justiça Criminal - Doha, 12 a 19 de abril de 2015";"16/04/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/13-congresso-de-prevencao-do-crime-e-justica-criminal-doha-12-a-19-de-abril-de-2015";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Acordo Comercial Expandido Brasil-México – Cidade do México, 26 de maio de 2015";"26/05/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-comercial-expandido-brasil-mexico-cidade-do-mexico-26-de-maio-de-2015";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Ata da Quarta Reunião da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN)";"26/06/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/ata-da-quarta-reuniao-da-comissao-sino-brasileira-de-alto-nivel-de-concertacao-e-cooperacao-cosban";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Atos assinados por ocasião da visita da Presidenta Dilma Rousseff aos Estados Unidos – Washington, 30 de junho de 2015";"30/06/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-da-presidenta-dilma-rousseff-aos-estados-unidos-washington-30-de-junho-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Comunicado Conjunto da Presidenta Dilma Rousseff e do Presidente Barack Obama – Washington, 30 de junho de 2015";"30/06/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-da-presidenta-dilma-rousseff-e-do-presidente-barack-obama-washington-30-de-junho-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"VII Cúpula do BRICS – Plano de Ação – Ufá, Rússia, 9 de julho de 2015";"09/07/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-do-brics-plano-de-acao-ufa-russia-9-de-julho-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"VII Cúpula do BRICS – Declaração de Ufá – Ufá, Rússia, 9 de julho de 2015";"09/07/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-do-brics-declaracao-de-ufa-ufa-russia-9-de-julho-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Comunicado Conjunto das Presidentas e dos Presidentes dos Estados Partes do MERCOSUL – Brasília, 17 de julho de 2015";"18/07/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-das-presidentas-e-dos-presidentes-dos-estados-partes-do-mercosul-brasilia-17-de-julho-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita ao Brasil do Secretário Especial para a América Latina e Assuntos Consulares, Passaporte e Vistos da Índia – Comunicado Conjunto – Brasília, 20 e 21 de julho de 2015";"21/07/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-secretario-especial-para-a-america-latina-e-assuntos-consulares-passaporte-e-vistos-da-india-comunicado-conjunto-brasilia-20-e-21-de-julho-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Comunicado Conjunto por ocasião das Primeiras Consultas Intergovernamentais de Alto Nível Brasil-Alemanha – Brasília, 20 de agosto de 2015";"20/08/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-por-ocasiao-das-primeiras-consultas-intergovernamentais-de-alto-nivel-brasil-alemanha-brasilia-20-de-agosto-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita ao Brasil de Sua Alteza Real o Príncipe Herdeiro da Noruega – Brasília, 16 de novembro de 2015";"13/11/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-de-sua-alteza-real-o-principe-herdeiro-da-noruega-brasilia-16-de-novembro-de-2015";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Negociação Brasil-México para ampliação e aprofundamento do ACE-53 – Troca de Listas de Pedidos Recíprocos";"19/12/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/negociacao-brasil-mexico-para-ampliacao-e-aprofundamento-do-ace-53-troca-de-listas-de-pedidos-reciprocos";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Resultados da X Conferência Ministerial da Organização Mundial do Comércio – Nairóbi, 15 a 18 de dezembro de 2015";"19/12/2015";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/resultados-da-x-conferencia-ministerial-da-organizacao-mundial-do-comercio-nairobi-15-a-18-de-dezembro-de-2015";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Visita do Ministro das Relações Exteriores à Etiópia, ao Marrocos e à Tunísia – 8 a 11 de março de 2016";"04/03/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/viagem-do-ministro-das-relacoes-exteriores-a-etiopia-ao-marrocos-e-a-tunisia-8-a-11-de-marco-de-2016";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"XII Reunião de Ministros das Relações Exteriores dos Países Membros da OTCA - El Coca, Equador, 3 de maio de 2013 – Declaração de El Coca – texto integral [Espanhol]";"20/05/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/xii-reuniao-de-ministros-das-relacoes-exteriores-dos-paises-membros-da-otca-el-coca-equador-3-de-maio-de-2013-declaracao-de-el-coca-texto-integral-espanhol";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"V Cúpula do Fórum de Diálogo Índia, Brasil e África do Sul (IBAS) – Declaração de Tshwane – 18/10/2011";"30/05/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/v-cupula-do-forum-de-dialogo-india-brasil-e-africa-do-sul-ibas-declaracao-de-tshwane-18-10-2011";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Discurso do Ministro José Serra durante a Reunião Ministerial da Organização Mundial de Comércio (OMC) – Paris, 2 de junho de 2016";"02/06/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-do-ministro-jose-serra-durante-a-sessao-reforcando-a-contribuicao-do-comercio-e-do-investimento-para-o-crescimento-inclusivo-da-reuniao-do-conselho-ministerial-da-ocde-paris-2-de-junho-de-2016";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Comunicado dos Líderes do G20 – Cúpula de Hangzhou – 4-5 de setembro de 2016";"08/09/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-dos-lideres-do-g20-cupula-de-hangzhou-4-5-de-setembro-de-2016";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Intervenção do ministro das Relações Exteriores, José Serra, na reunião de chanceleres dos BRICS à margem da 71ª Assembleia Geral das Nações Unidas – Nova York, 20 de setembro de 2016 [Inglês]";"20/09/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/intervencao-do-ministro-das-relacoes-exteriores-jose-serra-na-reuniao-de-chanceleres-dos-brics-a-margem-da-71-assembleia-geral-das-nacoes-unidas-nova-york-20-de-setembro-de-2016";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita do Presidente da República ao Paraguai - Assunção, 3 de outubro de 2016 - Ato Assinado";"04/10/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-presidente-da-republica-ao-paraguai-ato-assinado";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita do Presidente da República à Índia – Goa, 17 de outubro de 2016 – Comunicado Conjunto Brasil-Índia";"17/10/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-presidente-da-republica-a-india-goa-17-de-outubro-de-2016-comunicado-conjunto-brasil-india";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Declaração conjunta do presidente da República Federativa do Brasil e do primeiro-ministro da República Portuguesa por ocasião da XII Cimeira Brasil-Portugal";"01/11/2016";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-do-presidente-da-republica-federativa-do-brasil-e-do-primeiro-ministro-da-republica-portuguesa-por-ocasiao-da-xii-cimeira-brasil-portugal";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Direito à privacidade na era digital";"24/03/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/direito-a-privacidade-na-era-digital";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Declaração conjunta aprovada por ocasião da VI Cúpula Brasil–União Europeia - Brasília, 24 de janeiro de 2013";"01/06/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-aprovada-por-ocasiao-da-vi-cupula-brasil-uniao-europeia-brasilia-24-de-janeiro-de-2013";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita do ministro Aloysio Nunes Ferreira aos Estados Unidos – Washington, 2 de junho de 2017";"01/06/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-aloysio-nunes-ferreira-aos-estados-unidos-washington-2-de-junho-de-2017";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Itamaraty apoia empreendedorismo brasileiro no exterior";"06/07/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/itamaraty-apoia-empreendedorismo-brasileiro-no-exterior";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Declaração dos Lideres do G20 – Moldando um Mundo Interconectado";"08/07/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-dos-lideres-do-g20-moldando-um-mundo-interconectado";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Declaração de Hamburgo dos Líderes do G20 sobre a Luta contra o Terrorismo";"08/07/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-de-hamburgo-dos-lideres-do-g20-sobre-a-luta-contra-o-terrorismo";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Documentos finais da XXII Reunião Ordinária do Conselho de Ministros da Comunidade dos Países de Língua Portuguesa – Brasília, 20 de julho de 2017";"20/07/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-finais-da-xxii-reuniao-ordinaria-do-conselho-de-ministros-da-comunidade-dos-paises-de-lingua-portuguesa-brasilia-em-20-de-julho-de-2017";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"V Cúpula Brasil-União Europeia – Declaração Conjunta e Plano de Ação Conjunta – Bruxelas, 4 outubro de 2011";"04/08/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/v-cupula-brasil-uniao-europeia-declaracao-conjunta-bruxelas-4-outubro-de-2011";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Atos assinados por ocasião da visita ao Brasil da Ministra das Relações Exteriores da Colômbia, María Ángela Holguín – Brasília, 26 de outubro de 2011";"15/08/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-ao-brasil-da-ministra-das-relacoes-exteriores-da-colombia-maria-angela-holguin-brasilia-26-de-outubro-de-2011";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Atos assinados por ocasião da visita do presidente Michel Temer à China – Pequim, 31 de agosto a 3 de setembro de 2017";"03/09/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-do-presidente-michel-temer-a-china-pequim-31-de-agosto-a-3-de-setembro-de-2017";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"IX Cúpula do BRICS – Declaração de Xiamen – Xiamen, China, 4 de setembro de 2017";"04/09/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/nona-cupula-do-brics-declaracao-de-xiamen-xiamen-china-4-de-setembro-de-2017";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Reunião ministerial da OMC em Marraquexe";"08/10/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reuniao-ministerial-da-omc-em-marraquexe";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Visita do Ministro Aloysio Nunes Ferreira à Itália – Comunicado Conjunto";"13/11/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-aloysio-nunes-ferreira-a-italia-comunicado-conjunto";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Atos assinados por ocasião da visita do Presidente do Estado Plurinacional da Bolívia, Evo Morales";"05/12/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-do-presidente-do-estado-plurinacional-da-bolivia-evo-morales";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"LI Cúpula de Chefes de Estado do MERCOSUL e Estados Associados e LI Reunião Ordinária do Conselho do Mercado Comum do MERCOSUL";"15/12/2017";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/li-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-e-li-reuniao-ordinaria-do-conselho-do-mercado-comum-do-mercosul";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Acordo entre a República Federativa do Brasil e o estado de Israel de Previdência Social – 27 de fevereiro de 2018";"27/02/2018";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/acordo-entre-a-republica-federativa-do-brasil-e-o-estado-de-israel-de-previdencia-social-27-de-fevereiro-de-2018";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Comunicado conjunto entre a República Federativa do Brasil e a República de Singapura – Singapura, 8 de maio de 2018";"08/05/2018";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-entre-a-republica-federativa-do-brasil-e-a-republica-de-singapura-por-ocasiao-da-visita-oficial-do-ministro-das-relacoes-exteriores-do-brasil-aloysio-nunes-ferreira-singapura-7-a-9-de-maio-de-2018";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Lançamento das negociações de um Acordo de Comércio entre   o Mercosul e a República da Coreia – 25 de maio de 2018";"25/05/2018";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/lancamento-das-negociacoes-de-um-acordo-de-comercio-entre-o-mercosul-e-a-republica-da-coreia-25-de-maio-de-2018";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
