"Titulo","Data","Link","Justificativa","Passagens_Relevantes","Origem"
"Visita ao Brasil do Primeiro-Ministro do Japão, Shinzo Abe – Comunicado Conjunto – 31 de julho a 2 de agosto de 2014","07/08/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-primeiro-ministro-do-japao-shinzo-abe-comunicado-conjunto-31-de-julho-a-2-de-agosto-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","40. Os dois Dignitários expressaram apoio ao processo decenal de revisão dos resultados da Cúpula Mundial sobre a Sociedade da Informação e reafirmaram o compromisso de superar os desafios relacionados à governança da Internet e à exclusão digital, com o objetivo de atingir plenamente Sociedades da Informação inclusiva... | 41. O Primeiro-Ministro Shinzo Abe expressou seu apreço pelo fato de o Brasil ter sido o anfitrião da NETmundial — Encontro Multissetorial Global Sobre o Futuro da Governança da Internet — , realizado em São Paulo, em abril de 2014. Os dois Líderes saudaram a ""Declaração Multissetorial do NETMundial"", bem como os princ...","Filtragem"
"Documentos aprovados na XLVI Cúpula de Chefes de Estado do MERCOSUL e Estados Associados – Caracas, 29 de julho de 2014","07/08/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvi-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-caracas-29-de-julho-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade, direitos humanos no ambiente digital, cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Destacaram a realização da Reunião Global de Múltiplas Partes Interessadas sobre o Futuro da Governança da Internet (Net Mundial, São Paulo, 23 e 24 de abril de 2014) e a aprovação de sua Declaração Multissetorial. | 12. Parabenizaram o Brasil pela Reunião de Múltiplas Partes Interessadas sobre o Futuro da Governança da Internet (NET mundial), realizada em 23 e 24 de abril de 2014, e acolheram a Declaração da NET mundial, reforçando seu compromisso com a promoção de uma Internet livre, aberta, segura, inclusiva e inovadora, baseada... | Reiteraram seu repúdio ao estabelecimento de sistemas de espionagem e a qualquer ação que quebrante o direito à privacidade da informação tanto estatal quanto individual, bem como à interceptação ilegal ou arbitrária das comunicações ou coleta ilegal ou arbitrária de dados pessoais, pois tudo isso se constitui em viola...","Filtragem"
"Discurso proferido pela Presidenta da República, Dilma Rousseff, na abertura do Debate de Alto Nível da 69ª Assembleia Geral das Nações Unidas (ONU) – Nova York, 24 de setembro de 2014","08/10/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pela-presidenta-da-republica-dilma-rousseff-na-abertura-do-debate-de-alto-nivel-da-69-assembleia-geral-das-nacoes-unidas-onu-nova-york-24-de-setembro-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Noto, com satisfação, que a comunidade internacional tem se mobilizado, desde então, para aprimorar a atual arquitetura de governança da internet. Passo importante nesse processo foi a realização, por iniciativa do Brasil, da Reunião Multissetorial Global sobre o Futuro da Governança da Internet - a NETmundial - em São... | É indispensável tomar medidas que protejam eficazmente os direitos humanos tanto no mundo real como no mundo virtual, como preconiza a resolução desta Assembleia sobre a privacidade na era digital. | O Brasil e a Alemanha provocaram essa importante discussão em 2013 e queremos aprofundá-la nesta Sessão. Servirá de base para a avaliação do tema o relatório elaborado pela Alta Comissária de Direitos Humanos. Em setembro de 2013, propus aqui, no debate geral, a criação de um marco civil para a governança e o uso da In...","Filtragem"
"Documentos aprovados na XLVII Cúpula de Chefes de Estado do MERCOSUL e Estados Associados - Paraná, Argentina, 17 de dezembro de 2014","18/12/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvii-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-parana-argentina-17-de-dezembro-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","26. Se congratularon por los grandes avances alcanzados durante la XVII Reunión Especializada de Ministerios Públicos del MERCOSUR, en materia de protección de Derechos Humanos y lucha contra el crimen organizado.Destacaron la creación de herramientas y elaboración de estrategias para prevenir, juzgar y sancionar la tr...","Filtragem"
"Discurso de Sua Excelência o Senhor Embaixador Mauro Luiz Iecker Vieira, por ocasião da cerimônia de transmissão do cargo de Ministro de Estado das Relações Exteriores - Palácio Itamaraty, 2 de janeiro de 2015","02/01/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-de-sua-excelencia-o-senhor-embaixador-mauro-luiz-iecker-vieira-por-ocasiao-da-cerimonia-de-transmissao-do-cargo-de-ministro-de-estado-das-relacoes-exteriores-palacio-itamaraty-2-de-janeiro-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A agenda que nos espera em 2015 e nos próximos anos é ampla e promissora, como indicou a Senhora Presidenta em seu discurso de posse. De acordo com nossa tradicional linha de ação, a um tempo regional e universalista, trataremos de consolidar a América do Sul como espaço de integração em todos os âmbitos e ampliar esfo...","Filtragem"
"Documentos aprovados na I Reunião dos Ministros das Relações Exteriores do Foro CELAC-China - Pequim, 8 e 9 de janeiro de 2015 [inglês]","12/01/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-i-reuniao-dos-ministros-das-relacoes-exteriores-do-foro-celac-china-pequim-8-e-9-de-janeiro-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","7. Enhance dialogue and collaboration on Internet governance and cyber security, work together to build an Internet space that features peace, security, openness and cooperation. Uphold the principles of the International Law in building multilateralism, multistakeholderism, democratic, and transparent global Internet ...","Filtragem"
"Visita ao Brasil do Ministro do Exterior da República Federal da Alemanha, Frank-Walter Steinmeier – Brasília, 13 de fevereiro de 2015","12/02/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-do-exterior-da-republica-federal-da-alemanha-frank-walter-steinmeier-brasilia-13-de-fevereiro-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Os Ministros Mauro Vieira e Frank-Walter Steinmeier deverão analisar os principais temas da agenda bilateral, inclusive comércio e investimentos, cooperação em ciência, tecnologia e inovação e em educação. Deverão discutir, igualmente, a reforma das instituições de governança global, temas da agenda de paz e segurança ...","Filtragem"
"IV Diálogo Estratégico Brasil – Reino Unido  - Londres, 25 de fevereiro de 2015 - Comunicado Conjunto","27/02/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/iv-dialogo-estrategico-brasil-reino-unido-londres-25-de-fevereiro-de-2015-comunicado-conjunto","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Internet Governance | Reino Unido e Brasil desempenham papel de liderança na condução da agenda internacional sobre política cibernética. Ao refletir sobre esse assunto, as oportunidades advindas das tecnologias de comunicação e informação e as crescentes ameaças cibernéticas que ambos os países enfrentam, o Secretário de Negócios Estrangei...","Filtragem"
"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""","26/03/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/criacao-da-relatoria-especial-sobre-o-direito-a-privacidade-na-era-digital","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade, direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Enfatizando que os Estados devem respeitar suas obrigações internacionais de direitos humanos quanto ao direito à privacidade quando interceptam comunicações digitais dos indivíduos e/ou coletam dados pessoais e quando requerem abertura de dados pessoais de terceiras partes, incluindo companhias privadas, | Profundamente preocupados com o impacto negativo que a vigilância e/ou interceptação de comunicações, incluindo vigilância e/ou interceptação de comunicações extraterritoriais, assim como a coleta de dados pessoais, em particular quando conduzida em grande escala, pode ter sobre o exercício e o gozo dos direitos humano... | Recordando ainda as resoluções do Conselho de Direitos Humanos 20/8 de 5 de julho de 2012 e 26/13 de 26 de junho de 2014 sobre promoção, proteção e exercício dos direitos humanos na internet,","Filtragem"
"13º Congresso de Prevenção do Crime e Justiça Criminal - Doha, 12 a 19 de abril de 2015","16/04/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/13-congresso-de-prevencao-do-crime-e-justica-criminal-doha-12-a-19-de-abril-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Durante as negociações sobre a Declaração de Doha, conduzidas em Viena, o Brasil trabalhou para que fosse reafirmada a importância da proteção e promoção dos direitos humanos, da eliminação da pobreza, da melhoria da educação e da saúde, do empoderamento das mulheres, do combate a todas as formas de discriminação e da ...","Filtragem"
"Comunicado Conjunto da Presidenta Dilma Rousseff e do Presidente Barack Obama – Washington, 30 de junho de 2015","30/06/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-da-presidenta-dilma-rousseff-e-do-presidente-barack-obama-washington-30-de-junho-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Ambos os países reconhecem que a agenda aprovada na conferência NETmundial (São Paulo, abril de 2014) constitui um guia para discussões referentes ao futuro do sistema de governança da Internet. | Ambos os países reafirmam sua aderência ao enfoque multissetorial para a governança da Internet e, neste contexto, reafirmam o compromisso de cooperar para o êxito da X edição do IGF (João Pessoa, 10 a 13 de novembro de 2015) e para a extensão do mandato da IGF. Da mesma forma, reafirmam o interesse em participar ativa... | A cooperação bilateral em temas cibernéticos será retomada com a realização da II reunião do Grupo de Trabalho sobre Internet e Tecnologias da Informação e das Comunicações, em Brasília, no segundo semestre. A reunião oferecerá oportunidade para troca de experiências e a exploração de possibilidades de cooperação em ár...","Filtragem"
"VII Cúpula do BRICS – Declaração de Ufá – Ufá, Rússia, 9 de julho de 2015","09/07/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-do-brics-declaracao-de-ufa-ufa-russia-9-de-julho-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade, direitos humanos no ambiente digital, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Apoiamos a evolução contínua do ecossistema de governança da Internet, o qual deve se basear em processo aberto e democrático, livre da influência de quaisquer considerações unilaterais. | Reconhecemos a necessidade urgente de fortalecer ainda mais a cooperação em áreas de TICs, inclusive a Internet, que sejam do interesse de nossos países. Nesse contexto, decidimos constituir um grupo de trabalho do BRICS sobre cooperação em TICs. Reiteramos a inadmissibilidade do uso de TICs e da Internet para a violaç... | 34. Tecnologias da Informação e da Comunicação (TICs) proporcionam novas ferramentas aos cidadãos para o funcionamento efetivo da economia, da sociedade e do Estado. As TICs aprimoram oportunidades para o estabelecimento de parceiras globais para o desenvolvimento sustentável, o fortalecimento da paz e da segurança int...","Filtragem"
"Comunicado Conjunto das Presidentas e dos Presidentes dos Estados Partes do MERCOSUL – Brasília, 17 de julho de 2015","18/07/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-das-presidentas-e-dos-presidentes-dos-estados-partes-do-mercosul-brasilia-17-de-julho-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade, cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","45. Saudaram os resultados da I Reunião de Autoridades sobre Privacidade e Segurança da Informação do MERCOSUL, realizada em Brasília, em 27 de abril de 2015, que deu margem à elaboração de plano de trabalho voltado a estabelecer cooperação em matéria de segurança cibernética e a fortalecer as capacidades nacionais nes...","Filtragem"
"Visita ao Brasil do Secretário Especial para a América Latina e Assuntos Consulares, Passaporte e Vistos da Índia – Comunicado Conjunto – Brasília, 20 e 21 de julho de 2015","21/07/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-secretario-especial-para-a-america-latina-e-assuntos-consulares-passaporte-e-vistos-da-india-comunicado-conjunto-brasilia-20-e-21-de-julho-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","No dia 20 de julho de 2015, teve lugar, em Brasília, reunião bilateral entre o Subsecretário-Geral de Política II, Embaixador José Alfredo Graça Lima, e sua contraparte indiana, R. Swaminathan, Secretário Especial para a América Latina e Assuntos Consulares, Passaporte e Vistos. Os dois lados discutiram a agenda do rel...","Filtragem"
"Comunicado Conjunto por ocasião das Primeiras Consultas Intergovernamentais de Alto Nível Brasil-Alemanha – Brasília, 20 de agosto de 2015","20/08/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-por-ocasiao-das-primeiras-consultas-intergovernamentais-de-alto-nivel-brasil-alemanha-brasilia-20-de-agosto-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Tendo presente a exitosa cooperação entre Brasil e Alemanha sobre o direito à privacidade na era digital, as Chefes de Governo decidiram estabelecer mecanismo bilateral de consultas e de cooperação sobre temas cibernéticos.","Filtragem"
"Visita ao Brasil de Sua Alteza Real o Príncipe Herdeiro da Noruega – Brasília, 16 de novembro de 2015","13/11/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-de-sua-alteza-real-o-principe-herdeiro-da-noruega-brasilia-16-de-novembro-de-2015","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Brasil e Noruega têm coordenado ações em organismos internacionais, em temas como privacidade na era digital, saúde global e direitos dos povos indígenas.","Filtragem"
"XII Reunião de Ministros das Relações Exteriores dos Países Membros da OTCA - El Coca, Equador, 3 de maio de 2013 – Declaração de El Coca – texto integral [Espanhol]","20/05/2016","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/xii-reuniao-de-ministros-das-relacoes-exteriores-dos-paises-membros-da-otca-el-coca-equador-3-de-maio-de-2013-declaracao-de-el-coca-texto-integral-espanhol","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","31. Expresar su firme rechazo a cualquier pretensión de apropiación por terceros de los nombres geográficos de los Países Parte de la OTCA en general y del nombre de dominio de primer nivel ....amazonia... o relacionados, sin el debido consentimiento de los Países amazónicos. Agradecer a la República Federativa de Bras...","Filtragem"
"V Cúpula do Fórum de Diálogo Índia, Brasil e África do Sul (IBAS) – Declaração de Tshwane – 18/10/2011","30/05/2016","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/v-cupula-do-forum-de-dialogo-india-brasil-e-africa-do-sul-ibas-declaracao-de-tshwane-18-10-2011","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Governança da Internet52. Os Líderes reafirmaram seu compromisso de trabalhar em conjunto em direção a uma sociedade de informação inclusiva, orientada ao desenvolvimento e centrada nas pessoas, assim como seu acordo em continuar a coordenar posições com vistas ao mecanismo de acompanhamento do Encontro Mundial sobre S... | 55. Os Líderes enfatizaram a Governança da Internet como área estratégica chave que exige colaboração próxima e ação concreta. Nesse contexto, recomendaram o estabelecimento de um Observatório de Desenvolvimento e Governança da Internet do IBAS a ser encarregado de monitorar os desenvolvimentos na Governança Global da ...","Filtragem"
