"Titulo","Data","Link","Categoria","Autoridade","Justificativa","Passagens_Relevantes","Origem"
"Discurso do senhor ministro de Estado por ocasião da abertura do seminário sobre “Globalismo”, da FUNAG – Palácio Itamaraty, 10 de junho de 2019","13/06/2019","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/discurso-do-senhor-ministro-de-estado-por-ocasiao-da-abertura-do-seminario-sobre-globalismo-da-funag-palacio-itamaraty-10-de-junho-de-2019","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Então, é curioso, porque se cria um estranho humanismo, que é um humanismo que desmerece o homem, e equipara o homem à máquina. Então, nós estamos vendo hoje, é interessante toda a discussão da inteligência artificial, onde normalmente se fala: “bom, a inteligência artificial é a máquina aprendendo a pensar como o ser ...","Filtragem"
"Alocução no café da manhã sobre o ingresso  do Brasil na Organização para a Cooperação  e Desenvolvimento Econômico (OCDE) -  Brasília, 13/02/2020","13/02/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/alocucao-no-cafe-da-manha-sobre-o-ingresso-do-brasil-na-organizacao-para-a-cooperacao-e-desenvolvimento-economico-ocde-brasilia-13-02-2020","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","O Brasil vem avançando bastante na convergência com os padrões da OCDE, mesmo antes de sermos membro pleno. Nosso país já aderiu a 81 instrumentos da Organização e já solicitou a adesão a mais 65, de um universo total de 254 – aqui eu não vou fazer a soma, porque de manhã ainda não dá para fazer matemática, mas eu acho...","Filtragem"
"Intervenção do ministro Ernesto Araújo no café da manhã sobre o ingresso do Brasil na OCDE – Brasília 13/02/2020","13/02/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-no-cafe-da-manha-sobre-o-ingresso-do-brasil-na-ocde-brasilia-13-02-2020","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Quero mencionar também, à guisa de exemplo, algumas das recomendações da OCDE adotadas pelo Brasil que definem diretrizes e modo de atuação em cada área, como inteligência artificial, proteção do consumidor no comércio eletrônico, prevenção contra concorrência fiscal nociva e prestação de qualidade no ensino superior t...","Filtragem"
"Intervenções do Ministro das Relações Exteriores, Ernesto Araújo, na cerimônia de lançamento dos estudos da Organização para a Cooperação e Desenvolvimento Econômico (OCDE) “A Caminho da Era Digital no Brasil” e “Telecomunicações e Radiofusão no Brasil”","26/10/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencoes-do-ministro-das-relacoes-exteriores-ernesto-araujo-na-cerimonia-de-lancamento-dos-estudos-da-organizacao-para-a-cooperacao-e-desenvolvimento-economico-ocde-201ca-caminho-da-era-digital-no-brasil201d-e-201ctelecomunicacoes-e-radiofusao-no","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial, proteção de dados e privacidade, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Como afirmou o Presidente Jair Bolsonaro na Assembleia Geral das Nações Unidas, o Brasil está aberto ao desenvolvimento de tecnologia e de inovação de ponta, como a indústria 4.0, a inteligência artificial, a nanotecnologia e a tecnologia 5G, com quaisquer parceiros que respeitem nossa soberania e prezem pela liberdade... | “O caminho da era digital no Brasil” faz uma avaliação ampla e precisa de como o país pode promover sua transformação digital. O estudo vai ao cerne de várias questões, que o Brasil agora se dedica a resolver, como a burocracia, maior integração e cadeias globais de valor, bem como políticas mais orientadas por resulta...","Filtragem"
"Intervenção do Ministro Ernesto Araújo na Reunião Ministerial sobre Liberdade de Religião e Crença – 16/11/2020","16/11/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-reuniao-ministerial-sobre-liberdade-de-religiao-e-crenca-2013-16-11-2020","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A urgência do aviso de São João Paulo II aumentou desde então. Em nossa era de inteligência artificial e Big Data, o espírito humano deve se esforçar para evitar ser reduzido a seres subservientes. A liberdade religiosa é fundamental para garantir a integridade e a profundidade da dimensão espiritual da humanidade.","Filtragem"
"Intervenção do Ministro Ernesto Araújo na Reunião Ministerial América Latina e Caribe – União Européia Painel temático III: Aliança Digital/ Cooperação Digital - 14/12/2020","15/12/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-reuniao-ministerial-america-latina-e-caribe-2013-uniao-europeia-painel-tematico-iii-alianca-digital-cooperacao-digital-14-de-dezembro-de-2020","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, governança da inteligência artificial, proteção de dados e privacidade, cibersegurança, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","No Brasil, 70% dos cidadãos têm acesso à internet. Dispomos de avançada estrutura institucional para a governança da internet. Marcos normativos importantes, como a Estratégia de Transformação Digital e a Lei Geral de Proteção de Dados, têm fortalecido a segurança digital, bem como a proteção de dados pessoais e dos co... | Na era da inteligência artificial e do Big Data, devemos estar vigilantes. Mais do que nunca, devemos lutar pela liberdade de pensamento e de consciência, assim como pela liberdade de expressão. O exercício do direito à privacidade é crucial para a consecução plena dessas liberdades e para o desenvolvimento de opiniões... | O governo brasileiro adotou, por essas razões, nova Estratégia Nacional de Cibersegurança, visando a aumentar a resistência do país às ameaças cibernéticas e a contribuir para a prosperidade e a confiabilidade no ambiente digital.","Filtragem"
"Intervenção do Ministro Ernesto Araújo na 46ª Sexta Sessão do Conselho de Direitos Humanos da ONU - 22/02/2021","22/02/2021","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-46a-sexta-sessao-do-conselho-de-direitos-humanos-da-onu-22-02-2021","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial, direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","O século 21 é o século da tecnologia da informação, da inteligência artificial, e nossa tarefa é garantir que essas tecnologias sirvam para libertar e engrandecer o ser humano, a partir da sua dignidade intrínseca, e não para submetê-lo ou apequená-lo, transformando cada homem e cada mulher numa simples coleção de dado... | As Tecnologias de Informação e Comunicação trouxeram-nos a promessa de novas plataformas para a liberdade de expressão, de acesso mais fácil e amplo à informação. Mas essas tecnologias têm sido cada vez mais submetidas à censura, à vigilância e à criação de mecanismos de controle social.","Filtragem"
"Discurso do Ministro Carlos França por ocasião da abertura do II Ciclo de Conferências sobre a Política Externa da FUNAG - ""A diplomacia da inovação"" - Brasília, 10/09/2021","13/09/2021","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/carlos-alberto-franco-franca/discurso-do-ministro-carlos-franca-por-ocasiao-da-abertura-do-ii-ciclo-de-conferencias-sobre-a-politica-externa-da-funag-a-diplomacia-da-inovacao-brasilia-10-09-2021","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial, proteção de dados e privacidade, cibersegurança, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","No campo específico da inteligência artificial, estamos entre os 10 primeiros países em produção científica ao longo dos últimos 40 anos. No entanto, o problema a ser superado é a transformação do conhecimento científico em ganhos econômicos. Somos apenas o 62º país mais inovador do mundo, de acordo com o índice Global... | Muitas das nossas healthtecs atuam na fronteira do conhecimento, em áreas como pesquisa genômica e inteligência artificial aplicada à saúde. Diversas aceleradoras brasileiras lançaram iniciativas relacionadas à pandemia e mais de 50 healthtecs brasileiras atuam diretamente no combate à COVID-19. Em momento no qual o mu... | Sobre o grupo bilateral, o plano bilateral. A Diplomacia da inovação, no plano bilateral, envolve firmar e implementar acordos de cooperação, como os que assinamos no governo do presidente Bolsonaro com Israel e Áustria, bem como o entendimento sobre áreas específicas, como o que firmamos com o Japão na área de grafeno...","Filtragem"
"Discurso do Ministro Mauro Vieira na  14ª Conferência Regional do “Council of Councils”, proferido pelo Chefe do Gabinete, Embaixador Ricardo Monteiro","05/11/2023","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-na-14a-conferencia-regional-do-201ccouncil-of-councils201d-proferido-pelo-chefe-do-gabinete-embaixador-ricardo-monteiro","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Lidamos também com o surgimento definitivo da inteligência artificial como ferramenta tecnológica, criando um manancial de oportunidades e desafios ainda inescrutáveis.","Filtragem"
"Discurso do Ministro Mauro Vieira por ocasião da reunião de ministros de Relações Exteriores do G20 – Rio de Janeiro, 21 de fevereiro de 2024","21/02/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-por-ocasiao-da-reuniao-de-ministros-de-relacoes-exteriores-do-g20-2013-rio-de-janeiro-21-de-fevereiro-de-2024","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Prezados colegas,Sem paz e cooperação, será extremamente difícil alcançarmos a prometida mobilização em larga escala dos recursos necessários para enfrentar as ameaças existenciais que enfrentamos, em particular o combate à pobreza e à desigualdade e a proteção do meio ambiente.Não é minimamente razoável que o mundo ul...","Filtragem"
"Discurso do Ministro Mauro Vieira durante a abertura da  5ª Conferência Nacional de Ciência, Tecnologia & Inovação - Brasília, 4 de abril de 2024","04/04/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-durante-a-abertura-da-5a-conferencia-nacional-de-ciencia-tecnologia-inovacao-brasilia-4-de-abril-de-2024","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial, proteção de dados e privacidade, direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Estamos observando tendência crescente de politização da questão do desenvolvimento e da comercialização de tecnologias críticas, em especial dos sistemas de comunicação avançados, da inteligência artificial, das tecnologias quânticas e dos semicondutores. | Os avanços tecnológicos atuais abrem possibilidades antes inimagináveis, mas também trazem desafios sérios, como a concentração de riqueza por grandes corporações, violações de direitos trabalhistas e humanos e o fomento ao extremismo. Além disso, enfrentamos riscos como perda de privacidade e viés racista e misógino e... | Iniciativas como o Pacto Global Digital da ONU e as Diretrizes Globais para a Regulamentação de Plataformas Digitais da UNESCO são essenciais para enfrentar esses desafios, garantindo que os benefícios da tecnologia sejam compartilhados por todos e que haja uma participação inclusiva de especialistas de países em desen...","Filtragem"
"Discurso do Ministro Mauro Vieira na abertura do Seminário “Encontros: 200 anos de amizade Brasil-EUA” - Brasília, 28 de maio de 2024","28/05/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-na-abertura-do-seminario-201cencontros-200-anos-de-amizade-brasil-eua201d-brasilia-28-de-maio-de-2024","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A estabilização macroeconômica do Brasil, nos últimos trinta anos, também permitiu uma transformação na natureza do nosso diálogo. Hoje, autoridades dos nossos dois países discutem fortalecimento da democracia, transformação ecológica e inteligência artificial.","Filtragem"
"Intervenção do senhor Ministro de Estado na Audiência Pública da Comissão de Relações Exteriores e de Defesa Nacional da Câmara dos Deputados (CREDN)","19/06/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/intervencao-do-senhor-ministro-de-estado-na-audiencia-publica-da-comissao-de-relacoes-exteriores-e-de-defesa-nacional-da-camara-dos-deputados-credn","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","O encontro do G7 em Apúlia, na Itália, foi importante para alavancar o potencial dos membros do G7 em favor das prioridades de nossa presidência de turno do G20. Esse foi o tom da intervenção do Presidente Lula durante a sessão plenária. À margem, o presidente Lula reuniu-se com o Papa Francisco, que também foi convida...","Filtragem"
"Discurso do Ministro Mauro Vieira no  Seminário “Relações Internacionais, Política Externa e Direitos LGBTQIA+"" - 25/06/2024","25/06/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-no-seminario-201crelacoes-internacionais-politica-externa-e-direitos-lgbtqia-25-06-2024","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A escalada de crises climático-sanitárias, desigualdades socioeconômicas, tensões geopolíticas e conflitos internacionais geram angústia social crescente, potencializada por mídias sociais e inteligência artificial. Nesse contexto, movimentos políticos de apelo ao discurso de ódio a grupos vulneráveis vêm crescendo em ...","Filtragem"
"Discurso do Ministro Mauro Vieira na XXIX Reunião Ordinária do Conselho de Ministros da CPLP - São Tomé, 19/07/2024","19/07/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-na-xxix-reuniao-ordinaria-do-conselho-de-ministros-da-cplp-sao-tome-19-07-2024","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Temos de estimular que estudantes brasileiros e lusófonos estudem juntos temas contemporâneos essenciais para nosso desenvolvimento – como a inteligência artificial, as novas fontes de energia, o processo de aceleração de partículas e o desenvolvimento de vacinas e medicamentos.","Filtragem"
